GameId,round,t1n,t2n,t1_seed,t2_seed,winner,toID,toSpot
1,64,Gonzaga,Appalachian State,1,16,,33,1
2,64,Oklahoma,Missouri,8,9,,33,2
3,64,Creighton,UC-Santa Barbara,5,12,,34,1
4,64,Virginia,Ohio,4,13,,34,2
5,64,Southern California,Wichita State,6,11,,35,1
6,64,Kansas,Eastern Washington,3,14,,35,2
7,64,Oregon,Virginia Commonwealth,7,10,,36,1
8,64,Iowa,Grand Canyon,2,15,,36,2
9,64,Michigan,Mount St. Mary's,1,16,,37,1
10,64,Louisiana State,St. Bonaventure,8,9,,37,2
11,64,Colorado,Georgetown,5,12,,38,1
12,64,Florida State,North Carolina-Greensboro,4,13,,38,2
13,64,Brigham Young,UCL,6,11,,39,1
14,64,Texas,Abilene Christian,3,14,,39,2
15,64,Connecticut,Maryland,7,10,,40,1
16,64,Alabama,Iona,2,15,,40,2
17,64,Baylor,Hartford,1,16,,41,1
18,64,North Carolina,Wisconsin,8,9,,41,2
19,64,Villanova,Winthrop,5,12,,42,1
20,64,Purdue,North Texas,4,13,,42,2
21,64,Texas Tech,Utah State,6,11,,43,1
22,64,Arkansas,Colgate,3,14,,43,2
23,64,Florida,Virginia Tech,7,10,,44,1
24,64,Ohio State,Oral Roberts,2,15,,44,2
25,64,Illinois,Drexel,1,16,,45,1
26,64,Loyola (IL),Georgia Tech,8,9,,45,2
27,64,Tennessee,Oregon State,5,12,,46,1
28,64,Oklahoma State,Liberty,4,13,,46,2
29,64,San Diego State,Syracuse,6,11,,47,1
30,64,West Virginia,Morehead State,3,14,,47,2
31,64,Clemson,Rutgers,7,10,,48,1
32,64,Houston,Cleveland State,2,15,,48,2
33,32,,,,,,49,1
34,32,,,,,,49,2
35,32,,,,,,50,1
36,32,,,,,,50,2
37,32,,,,,,51,1
38,32,,,,,,51,2
39,32,,,,,,52,1
40,32,,,,,,52,2
41,32,,,,,,53,1
42,32,,,,,,53,2
43,32,,,,,,54,1
44,32,,,,,,54,2
45,32,,,,,,55,1
46,32,,,,,,55,2
47,32,,,,,,56,1
48,32,,,,,,56,2
49,16,,,,,,57,1
50,16,,,,,,57,2
51,16,,,,,,58,1
52,16,,,,,,58,2
53,16,,,,,,59,1
54,16,,,,,,59,2
55,16,,,,,,60,1
56,16,,,,,,60,2
57,8,,,,,,61,1
58,8,,,,,,61,2
59,8,,,,,,62,1
60,8,,,,,,62,2
61,4,,,,,,63,1
62,4,,,,,,63,2
63,2,,,,,,999,999